imagefile,id,category,feature,avg-x-r,avg-y-r,xmod,ymod,x,y
LLD JPG all/L (101)_Page_22.jpg,5,text-emphasis,underline,846,1803,1,1,846,1803
LLD JPG all/L (101)_Page_22.jpg,3,text-emphasis,underline,500,980,1,1,500,980
LLD JPG all/L (101)_Page_22.jpg,4,text-emphasis,underline,1110,976,1,1,1110,976
LLD JPG all/L (101)_Page_22.jpg,1,graphic,list,270,965,1,1,270,965
LLD JPG all/L (101)_Page_22.jpg,7,text-emphasis,italic,854,639,1,1,854,639
LLD JPG all/L (101)_Page_22.jpg,6,text-emphasis,underline,849,200,1,1,849,200
LLD JPG all/L (101)_Page_23.jpg,3,graphic,footer,904,2128,1,1,904,2128
LLD JPG all/L (101)_Page_23.jpg,12,text-emphasis,underline,381,1953,1,1,381,1953
LLD JPG all/L (101)_Page_23.jpg,11,text-emphasis,underline,490,1887,1,1,490,1887
LLD JPG all/L (101)_Page_23.jpg,10,text-emphasis,underline,1212,1586,1,1,1212,1586
LLD JPG all/L (101)_Page_23.jpg,9,text-emphasis,underline,503,1585,1,1,503,1585
LLD JPG all/L (101)_Page_23.jpg,7,text-emphasis,underline,707,1526,1,1,707,1526
LLD JPG all/L (101)_Page_23.jpg,8,text-emphasis,underline,1091,1523,1,1,1091,1523
LLD JPG all/L (101)_Page_23.jpg,6,text-emphasis,underline,1414,1456,1,1,1414,1456
LLD JPG all/L (101)_Page_23.jpg,2,graphic,list,260,1089,1,1,260,1089
LLD JPG all/L (101)_Page_23.jpg,5,text-emphasis,italic,216,845,1,1,216,845
LLD JPG all/L (101)_Page_23.jpg,4,text-emphasis,italic,1067,724,1,1,1067,724
LLD JPG all/L (101)_Page_23.jpg,1,text-emphasis,b/u/c,858,364,1,1,858,364
LLD JPG all/L (101)_Page_24.jpg,4,graphic,footer,907,2121,1,1,907,2121
LLD JPG all/L (101)_Page_24.jpg,5,text-emphasis,italic,838,1037,1,1,838,1037
LLD JPG all/L (101)_Page_24.jpg,3,graphic,list,269,1002,1,1,269,1002
LLD JPG all/L (101)_Page_24.jpg,1,text-emphasis,b/u/centered,880,858,1,1,880,858
LLD JPG all/L (101)_Page_24.jpg,2,text-emphasis,underline,856,363,1,1,856,363
LLD JPG all/L (101)_Page_25.jpg,2,graphic,footer,904,2118,1,1,904,2118
LLD JPG all/L (101)_Page_25.jpg,15,graphic,list,355,2082,1,1,355,2082
LLD JPG all/L (101)_Page_25.jpg,18,text-emphasis,font-size,1024,2076,1,1,1024,2076
